Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PLENUM-1:Zone Mean Air Temperature [C](TimeStep),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Temperature [C](TimeStep),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Temperature [C](TimeStep),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Temperature [C](TimeStep),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Temperature [C](TimeStep),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Temperature [C](TimeStep),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),OCCUPY-1:Schedule Value [](TimeStep),HTG-SETP-SCH:Schedule Value [](TimeStep),CLG-SETP-SCH:Schedule Value [](TimeStep),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly),Electricity:Facility [J](TimeStep) 
 07/01  00:15:00,,21.537386690149813,,20.676012906983885,,20.732588302621007,,20.688272696572856,,20.740322880190416,,21.156604717333472,,,,,,,,,,,,,,,,,,,,,,,,475.0,-1.0916079321696084,-1.0927228069857007,-1.0870969950408318,-1.0915055809899288,-0.9382512596457254,0.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427500.0 
 07/01  00:30:00,,21.441313854675556,,20.64628407879704,,20.69810544011908,,20.656833273977963,,20.704510582273986,,21.122233958962827,,,,,,,,,,,,,,,,,,,,,,,,475.0,-1.100318170462327,-1.1026588793689032,-1.0962941566326827,-1.1017663255945793,-0.9469536693103074,0.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427500.0 
 07/01  00:45:00,,21.349431700392834,,20.617566687110273,,20.667521141343922,,20.626719898989215,,20.67289890777831,,21.087609389402395,,,,,,,,,,,,,,,,,,,,,,,,475.0,-1.1086340592755637,-1.111651311126101,-1.1050196663870018,-1.1110326422574635,-0.9566859969016316,0.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427500.0 
 07/01  01:00:00,17.075,21.262369874567902,13.256823428787362,20.59047271884437,12.904583240346057,20.63868878754604,12.113564549769245,20.598329116973638,12.951809703211044,20.643326267015738,12.07133756007114,21.05541453067021,14.079817979778037,21.397625529946524,0.0,0.0,20.63258409793389,15.840000000000002,0.0,20.684225917907515,6.840000000000001,0.0,20.642538746628418,15.840000000000002,0.0,20.690264659314614,6.840000000000001,0.0,21.105465649092228,29.640000000000004,0.0,0.0,0.0,0.0,0.0,475.0,-1.116488446892967,-1.1200589023711562,-1.1132470105743837,-1.1196548758849443,-0.9643122829039115,0.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.134445788059189,8.134445788059189,0.0,0.0,43.270143677949484,0.0,8.134445788059189,0.0,21.491807698673256,0.00972399804580003,13.256823599526026,21.491807698673256,0.0,0.00972399804580003,13.0,81.99999102687784,0.0,0.0,0.0,7.219999999999999,0.0,17.075,0.0,0.010977161156531953,11.5,17.075,0.0,0.010977161156531953,4.5,427500.0 
 07/01  01:15:00,,21.179361385450274,,20.564726563110387,,20.611264078884957,,20.57155790062967,,20.61529854787561,,21.025022484476548,,,,,,,,,,,,,,,,,,,,,,,,475.0,-1.1244153548146893,-1.1284242658309138,-1.1214512528409366,-1.1281967151270096,-0.9726030192251643,0.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427500.0 
 07/01  01:30:00,,21.099847946204314,,20.540083584135655,,20.585305209104618,,20.54615615710843,,20.588809776738696,,20.995980797908892,,,,,,,,,,,,,,,,,,,,,,,,475.0,-1.1320020796260128,-1.136354065564449,-1.1292489172443014,-1.1362792588132058,-0.980483299386302,0.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427500.0 
 07/01  01:45:00,,21.023559455474675,,20.51644192739158,,20.560694336436395,,20.52192814855128,,20.563735107195857,,20.96827562830559,,,,,,,,,,,,,,,,,,,,,,,,475.0,-1.139283151788486,-1.1438915142933976,-1.136694617149079,-1.143949495007847,-0.9879784656116948,0.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427500.0 
 07/01  02:00:00,16.8125,20.950275448124554,13.270370073661203,20.493724576553902,12.91809206400898,20.53723337713117,12.126989205680655,20.498737362259774,12.965323633318103,20.539874009150974,12.084757731685663,20.941949948078065,14.093452290581862,21.063261058813453,0.0,0.0,20.52874416279788,15.840000000000002,0.0,20.573624250389287,6.840000000000001,0.0,20.53459489213729,15.840000000000002,0.0,20.576929360240285,6.840000000000001,0.0,20.982807214692272,29.640000000000004,0.0,0.0,0.0,0.0,0.0,475.0,-1.1462869867368277,-1.1510886949455896,-1.1438299511308267,-1.1512613988348006,-0.9950952054316975,0.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.134445788059189,8.134445788059189,0.0,0.0,43.270143677949484,0.0,8.134445788059189,0.0,21.14128466542429,0.00972399799026533,13.270370073661203,21.14128466542429,0.0,0.00972399799026533,13.0,81.99999102687784,0.0,0.0,0.0,7.219999999999999,0.0,16.8125,0.0,0.010642527234446517,11.5,16.8125,0.0,0.010642527234446517,4.5,427500.0 
 07/01  02:15:00,,20.890677847166785,,20.47193263931059,,20.514863277164835,,20.47656747294942,,20.517159187063978,,20.918079806215893,,,,,,,,,,,,,,,,,,,,,,,,475.0,-1.1529928628516768,-1.1579399068945737,-1.1506391757991747,-1.1582115569364357,-1.0015172366982659,0.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427500.0 
 07/01  02:30:00,,20.835351726126266,,20.4511227330953,,20.493603558517776,,20.45546214390382,,20.495600913820464,,20.895809736305676,,,,,,,,,,,,,,,,,,,,,,,,475.0,-1.159369760923347,-1.1644291371634898,-1.1570965880354585,-1.164786486326846,-1.007596578032273,0.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427500.0 
 07/01  02:45:00,,20.779591291918617,,20.431161303932505,,20.47330088172306,,20.43527685787136,,20.47503889731006,,20.874620704275863,,,,,,,,,,,,,,,,,,,,,,,,475.0,-1.1655074516955939,-1.1706465054498287,-1.1632944675063537,-1.171078209559523,-1.0133606996214675,0.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427500.0 
